sensor_index,date_created,private,location_type,uptime,position_rating,Y,X
11238,1527194396,0,0,18928,5,19.71006,-155.98712
11240,1527194514,0,1,5766,4,44.66448,-74.996284
142326,1641248479,0,0,18819,5,42.409473,-71.15838
11258,1527194752,0,0,380,5,32.604336,-115.4941
142338,1641324293,0,1,18819,5,37.883213,-122.533745
11266,1527200697,0,0,18949,4,43.26944,-79.85636
11270,1527200752,0,0,15953,5,32.645973,-115.44257
142346,1641328638,0,0,18819,5,37.747887,-122.43333
11276,1527200800,0,0,5616,5,32.614517,-115.510124
11278,1527200811,0,0,12791,5,40.725903,-123.94417
142354,1641329152,0,1,18875,5,37.26991,-107.94988
11282,1527200896,0,0,155,4,38.67714,-120.76153
11286,1527200909,0,0,6134,5,43.25676,-79.83239
142366,1641407778,0,1,1146,5,44.04026,-123.12425
142382,1641421850,0,0,18822,5,35.964317,-83.92016
142380,1641420076,0,0,1005,5,35.956364,-83.8671
11326,1527269915,0,0,18880,5,43.24802,-79.846344
11332,1527276362,0,0,1002,5,40.68506,-122.02371
11354,1527372393,0,0,18950,5,41.528286,-122.364204
11358,1527792395,0,0,17738,5,40.73598,-111.57678
142428,1641487359,0,1,2530,5,32.46552,-84.884926
11388,1527808048,0,0,8619,5,6.233219,-75.582
11394,1527808115,0,0,9271,5,6.208908,-75.56117
142470,1641492583,0,0,45,5,49.471195,-123.75134
11406,1527878461,0,0,18893,5,38.59525,-121.51833
11414,1527878499,0,0,9153,5,38.53396,-121.94542
11416,1527878500,0,0,18819,5,38.52555,-121.96753
11424,1527878538,0,0,18819,5,38.660984,-121.73263
11426,1527878773,0,0,18818,5,38.680492,-121.762314
11444,1527882209,0,0,18881,5,54.785137,-127.185486
142526,1641572065,0,0,18897,2,5.550723,-0.203684
11468,1527890178,0,0,16036,5,32.28794,-115.10283
11480,1527890320,0,0,15777,0,19.68627,-155.97891
11492,1527893357,0,0,8901,5,45.31303,-122.74916
142568,1641841062,0,0,12095,0,47.716045,-122.292656
142578,1641842378,0,0,18850,0,38.556004,-121.79213
11508,1528131091,0,0,10543,5,40.232162,-74.81532
142586,1641844295,0,0,18821,0,45.60881,-110.83753
11514,1528131198,0,0,9115,5,19.623238,-155.96786
142602,1641844561,0,0,110,5,48.073505,-122.607895
142606,1641844578,0,0,4620,5,41.758804,-72.73563
142604,1641844573,0,0,18945,5,35.708576,-106.06241
142610,1641844587,0,1,18821,5,47.657043,-117.367775
142608,1641844583,0,0,18825,5,33.98141,-118.43665
142616,1641844597,0,0,2886,5,39.416573,-119.79193
142634,1641845027,0,1,18929,5,37.814274,-122.25741
11566,1528146377,0,0,17112,5,43.24827,-79.82691
142636,1641845043,0,1,10913,5,36.0501,-86.96306
142642,1641845086,0,1,86,5,42.71957,-73.75203
142640,1641845075,0,1,5976,5,42.71655,-73.75211
142644,1641845109,0,1,18877,5,38.41727,-121.458954
142658,1641853119,0,0,18903,0,37.77552,-122.45685
11588,1528220316,0,1,18886,5,37.858288,-122.27897
142666,1641941162,0,1,18829,5,39.975445,-105.155716
142664,1641941155,0,1,18951,5,39.97471,-105.15605
142670,1641942551,0,0,5821,5,25.680895,-100.310295
142672,1641942557,0,0,6397,5,39.598278,-119.23962
142678,1641942574,0,0,18935,5,25.647034,-100.0923
142682,1641942579,0,0,2762,5,61.284195,-149.38579
142680,1641942575,0,1,18809,5,47.65936,-117.42579
142690,1641942636,0,0,3304,5,39.97084,-105.16003
142688,1641942617,0,1,18819,5,47.652264,-117.38473
142694,1641942858,0,0,18828,0,47.65714,-117.367195
11624,1528225521,0,0,4264,5,19.679768,-155.09557
142698,1641942877,0,0,3560,5,25.679337,-100.40833
142696,1641942876,0,1,18819,2,47.666004,-117.404785
142702,1641942991,0,0,1868,5,25.40677,-100.13576
142700,1641942883,0,0,9019,5,35.519592,-105.957115
11638,1528225646,0,0,18820,5,42.519913,-71.545525
11644,1528231391,0,0,18882,5,35.579464,-78.8571
142718,1642013869,0,0,18828,5,44.995792,-93.295395
11648,1528233345,0,1,18892,5,35.886806,-78.68331
11650,1528233386,0,0,10360,5,-27.499271,153.00397
142720,1642013875,0,0,18826,5,44.95617,-93.25471
142726,1642013897,0,0,18917,5,45.01507,-93.28903
142724,1642013889,0,0,18920,5,44.900867,-93.20865
11658,1528233464,0,0,18892,5,34.22814,-118.84939
142728,1642013901,0,0,18852,5,44.95802,-93.2458
142734,1642013929,0,0,18817,5,44.903934,-93.28091
142732,1642013923,0,0,18827,5,44.916794,-93.273834
142736,1642013936,0,0,5718,0,44.972923,-93.2832
11672,1528484815,0,0,1336,5,32.577362,-115.40223
142744,1642014285,0,0,1,5,44.99616,-93.29655
11678,1528484847,0,0,18927,5,32.628574,-115.55133
142748,1642014328,0,0,18828,5,44.96563,-93.28488
142752,1642014345,0,0,1526,5,44.998524,-93.29738
142756,1642014537,0,0,18899,5,45.00454,-93.26052
11688,1528484895,0,0,1610,5,39.090233,-108.55373
142766,1642020977,0,0,18930,5,40.46992,-79.916176
11694,1528484924,0,0,5971,0,38.9564,-108.258896
142764,1642020967,0,0,11744,0,39.648293,-80.52859
142774,1642021631,0,0,9159,5,44.95339,-93.31706
11702,1528484965,0,0,17867,5,39.09115,-108.45324
142772,1642021624,0,0,588,5,44.906876,-93.2261
11708,1528488233,0,0,3891,5,48.65769,-123.5735
142790,1642027405,0,0,5647,5,33.99776,-117.4188
142788,1642027033,0,0,3054,0,45.617428,-111.10577
11720,1528488323,0,0,3800,5,48.653805,-123.556946
11726,1528488345,0,0,18905,5,37.84631,-122.26612
11730,1528488363,0,1,17250,5,38.55088,-121.501884
11736,1528492148,0,0,15914,5,48.773525,-123.70852
11738,1528492157,0,0,16081,5,48.78173,-123.79625
11740,1528492160,0,0,515,5,48.65473,-123.62623
11742,1528492166,0,0,146,5,48.76635,-123.88139
11744,1528492167,0,0,16188,5,48.828403,-124.05401
11764,1528492694,0,0,15850,5,32.667515,-115.40884
142848,1642198290,0,1,18850,0,38.88083,-77.16769
142854,1642445319,0,0,18821,0,40.111656,-79.399345
142852,1642439734,0,0,18896,5,44.988598,-93.30978
142856,1642447218,0,1,5527,0,38.26087,-122.49277
142862,1642451273,0,1,18872,5,37.85124,-122.48286
